nama_jabatan;jf_id;sub_jabatan_id;sub_jabatan_nama;rekom
Pengawas Penyelenggaraan Urusan Pemerintahan Daerah (P2UPD);;;;34
P2UPD Ahli Madya;ff80808135ad75000135bcf3b83c75dc;8ae483a66950f6dc016956becdf21b49;Pengawas Penyelenggaraan Urusan Pemerintahan di Daerah (P2UPD);4
P2UPD Ahli Muda;ff80808135ad75000135bcf4e80b769c;8ae483a66950f6dc016956becdf21b49;Pengawas Penyelenggaraan Urusan Pemerintahan di Daerah (P2UPD);8
P2UPD Ahli Pertama;ff80808135ad75000135bcf5c39c7718;8ae483a66950f6dc016956becdf21b49;Pengawas Penyelenggaraan Urusan Pemerintahan di Daerah (P2UPD);22
Pengawas Koperasi;;;;25
Pengawas Koperasi Ahli Madya;88D10C55895AAEECE050640A29037FE4;ff8080813ad9c799013af283d6af1e48;Pengawas Koperasi;3
Pengawas Koperasi Ahli Muda;88D10C55895BAEECE050640A29037FE4;ff8080813ad9c799013af283d6af1e48;Pengawas Koperasi;6
Pengawas Koperasi Ahli Pertama;88D10C55895CAEECE050640A29037FE4;ff8080813ad9c799013af283d6af1e48;Pengawas Koperasi;16
Peneliti;;;;0
Peneliti Ahli Utama;ff808081329100bb0132941c9d811804;A418D76E0674B891E040640A04021940;Peneliti;0
Peneliti Ahli Madya;ff808081329100bb0132941be8591783;A418D76E0674B891E040640A04021940;Peneliti;0
Peneliti Ahli Muda;ff808081329100bb0132941b38561747;A418D76E0674B891E040640A04021940;Peneliti;0
Peneliti Ahli Pertama;ff808081329100bb0132941a9ca91714;A418D76E0674B891E040640A04021940;Peneliti;0
Instruktur;;;;59
Instruktur Ahli Madya;A5EB03E23F9EF6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;15
Instruktur Ahli Muda;A5EB03E23F9FF6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;16
Instruktur Ahli Pertama;A5EB03E23FA0F6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;17
Instruktur Penyelia;A5EB03E23FA1F6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;11
Instruktur Mahir;A5EB03E23FA2F6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;0
Instruktur Terampil;A5EB03E23FA3F6A0E040640A040252AD;A418D76E016EB891E040640A04021940;Instruktur;0
Pengendali Dampak Lingkungan ;;;;35
Pengendali Dampak Lingkungan Ahli Madya;A5EB03E23E8DF6A0E040640A040252AD;A418D76E0C44B891E040640A04021940;Pengendali Dampak Lingkungan;6
Pengendali Dampak Lingkungan Ahli Muda;A5EB03E23E8EF6A0E040640A040252AD;A418D76E0C44B891E040640A04021941;Pengendali Dampak Lingkungan;9
Pengendali Dampak Lingkungan Ahli Pertama;A5EB03E23E8FF6A0E040640A040252AD;A418D76E0C44B891E040640A04021942;Pengendali Dampak Lingkungan;17
Pengendali Dampak Lingkungan Penyelia;A5EB03E23E91F6A0E040640A040252AD;A418D76E0C44B891E040640A04021943;Pengendali Dampak Lingkungan;0
Pengendali Dampak Lingkungan Mahir;A5EB03E23E92F6A0E040640A040252AD;A418D76E0C44B891E040640A04021944;Pengendali Dampak Lingkungan;0
Pengendali Dampak Lingkungan Terampil;A5EB03E23E90F6A0E040640A040252AD;A418D76E0C44B891E040640A04021945;Pengendali Dampak Lingkungan;3
Pengawas Lingkungan Hidup ;;;;27
Pengawas Lingkungan Hidup Ahli Utama;8ae483a570e6758b01710bbce094031d;"ff8080813ad9c799013af285d44f1e9b
";Pengawas Lingkungan Hidup ;1
Pengawas Lingkungan Hidup Ahli Madya;D82C9665330A7042E040640A02020A8A;"ff8080813ad9c799013af285d44f1e9b
";Pengawas Lingkungan Hidup ;6
Pengawas Lingkungan Hidup Ahli Muda;D82C966533097042E040640A02020A8A;"ff8080813ad9c799013af285d44f1e9b
";Pengawas Lingkungan Hidup ;8
Pengawas Lingkungan Hidup Ahli Pertama;D82C966533087042E040640A02020A8A;"ff8080813ad9c799013af285d44f1e9b
";Pengawas Lingkungan Hidup ;12
Widyaiswara;;;;0
Widyaiswara Ahli Utama;A5EB03E24054F6A0E040640A040252AD;"A418D76E1C33B891E040640A04021940
";Widyaiswara;0
Widyaiswara Ahli Madya;A5EB03E24055F6A0E040640A040252AD;"A418D76E1C33B891E040640A04021940
";Widyaiswara;0
