id,golongan_id,nama,golongan_awal_id,id_lama,group_tk_pend_id,group_tk_pend_nm
"05","21","Sekolah Dasar","11","01","10","SD/MI"
"10","23","SLTP","13","02","20","SLTP/MTs"
"12","24","SLTP Kejuruan","13","02","20","SLTP/MTs"
"15","32","SLTA","21","03","30","SLTA/SMK/MA/D-I"
"17","32","SLTA Kejuruan","21","03","30","SLTA/SMK/MA/D-I"
"18","32","SLTA Keguruan","21","03","30","SLTA/SMK/MA/D-I"
"20","32","Diploma I","21","04","30","SLTA/SMK/MA/D-I"
"25","32","Diploma II","22","05","40","D-II"
"30","33","Diploma III/Sarjana Muda","23","06","50","D-III"
"35","34","Diploma IV","31","07","60","S-1/D-IV"
"40","34","S-1/Sarjana","31","08","60","S-1/D-IV"
"45","41","S-2","32","09","70","S-2"
"50","42","S-3/Doktor","33","10","80","S-3"
