id;tk_pendidikan_id;nama;status
A5EB03E215BDF6A0E040640A040252AD;15;MADRASAH ALIYAH A.3/IPS;0
ff80808147e76ffd0147f25421a11f19;40;S-1/A-IV PENDIDIKAN AGAMA ISLAM (TARBIYAH);1
ff808081506bb8b701508374394c32ba;25;D-II PGKMI;1
A5EB03E21A4EF6A0E040640A040252AD;15;MADRASAH ALIYAH IPA;0
A5EB03E21C6CF6A0E040640A040252AD;20;D-I AIR TRAFFIC SERVICES;0
8ae483c57ee79c18017efd9511d21e5a;35;D-IV MA`HAD ALY;
ff80808149a414410149a845cd990b76;35;D-IV STTU;1
A5EB03E209AFF6A0E040640A040252AD;30;AKADEMI TEKNOLOGI INDUSTRI MANAJEMEN INDUSTRI;1
A5EB03E209B3F6A0E040640A040252AD;30;AKADEMI TEKNOLOGI INDUSTRI TEKNIK INDUSTRI;1
8ae482884d79b459014d79ef16061285;45;S-2 ILMU AGAMA DAN LINTAS BUDAYA;1
ff808081513cb660015146ab09516d74;45;MASTER OF SCIENCE IN MARINE TRANSPORT WITH MANAGEMENT;1
8ae482865766911101576ad6405328af;45;S-2 TASAWUF;1
ff808081513cb660015146cbcb2d7dd6;50;S-3 EKONOMI;1
A5EB03E212A6F6A0E040640A040252AD;30;AKADEMI ILMU STATISTIK;0
ff808081517b078f01517ba7e7e32874;30;D-III TEKNIK PERSUNGAIAN;1
7609B55AF31B395CE050640A2903277F;35;D-IV BIMBINGAN DAN PENYULUHAN;1
A5EB03E2136AF6A0E040640A040252AD;30;D-III KEPERAWATAN;0
A5EB03E21395F6A0E040640A040252AD;30;D-III TEKNIK KOMPUTER;0
A5EB03E213A1F6A0E040640A040252AD;30;D-III TEKNIK LISTRIK;0
ff8080814587f4da014588567d7b4a40;30;4400067;0
A5EB03E20D63F6A0E040640A040252AD;30;#DELETE#;0
8ae4829d50110d2501501803dd5238c1;45;S-2 SPESIALIS ILMU PENYAKIT MATA;1
7634B30B9A4D0205E050640A29031FF8;40;S-1 ANIMASI;1
