id,nama,status
1,ADMINISTRASI BISNIS PERKANTORAN MODERN,1
2,ADMINISTRASI PERKANTORAN INDONESIA,1
3,ADMINISTRASI PERKANTORAN NAWA WIDYA,1
4,ADMINISTRASI PROFESIONAL DAN SEKRETARIS INDONESIA (APSI),1
5,AGRIBISNIS AMBISSI,1
6,AK-TEKSTIL SOLO,1
7,AKPINDO-STEIN,1
8,AKUNTANSI HUMANIKA INVESTA,1
9,ALAT BERAT INDONESIA (ABI),1
10,ALAT KONSTRUKSI INDONESIA (ALKINDO),1
11,AMMAN,1
12,APLIKASI ASURANSI UMUM INDONESIA,1
13,APTAKINDO KONSTRUKSI MANDIRI,1
14,ASTEKINDO KONSTRUKSI MANDIRI,1
15,ATDA,1
16,ATM KONSTRUKSI,1
17,AWAK KAPAL MIGRAN,1
18,AWAK KAPAL PERIKANAN,1
19,BADAN SIBER DAN SANDI NEGARA,1
20,BALAI BESAR K3,1
21,"BALAI BESAR STANDARDISASI DAN PELAYANAN JASA INDUSTRI KULIT, KARET DAN PLASTIK (BBSPJIKKP)",1
22,BALAI DIKLAT INDUSTRI JAKARTA,1
23,BBPVP SEMARANG,1
24,BDI MAKASSAR,1
25,BINA SUMBER DAYA MANUSIA HANDAL PENGELOLAAN LIMBAH DAN SAMPAH (BINA DAYA ALAM),1
26,BISNIS EKONOMI KEUANGAN SYARIAH,1
27,BLK PADANG,1
28,BLK SAMARINDA,1
29,BLK SURABAYA,1
30,BPJS KETENAGAKERJAAN,1
31,BPVP BELITUNG,1
32,BPVP PANGKEP,1
33,BRIDGESTONE TIRE INDONESIA,1
34,BUDIDAYA KOPI BERKELANJUTAN,1
35,CERTIFICATION INSTITUTION OF NATIONAL INSTRUCTUR AND TRAINING OFFICER PROFESSION (LSP PELATINAS),1
36,COATING INDONESIA,1
37,COHESPA,1
38,DENTAL ASISTEN INDONESIA,1
39,DESAIN DIGITAL SINGHASARI,1
40,DHARMA MANDALA INTERNATIONAL,1
41,DIGITAL INFORMATIKA INDONESIA,1
42,DIGITAL MARKETING INDONESIA,1
43,DIGITAL TEKNOLOGI INFORMASI INDONESIA,1
44,DIGITAL TIK,1
45,ENERGI,1
46,ENERGI MANDIRI,1
47,ENERGI NASIONAL,1
48,ENERGI TERBARUKAN,1
49,ESQ,1
50,FASILITATOR INSTRUKTUR DAN TENAGA KEPELATIHAN,1
51,FOTOGRAFI INDONESIA,1
52,FURNITUR DAN KAYU OLAHAN (FURNIKO),1
53,GARMINDO PLUS,1
54,GATAKI KONSTRUKSI MANDIRI,1
55,GATENSI KARYA KONSTRUKSI,1
56,HALAL SYARIAH SALAM,1
57,HATA PRIMA MANDIRI,1
58,HOLDING BUMN FARMASI,1
59,HOTEL DAN PARIWISATA MEDAN,1
60,HOTEL INTERNATIONAL,1
61,HUBUNGAN INDUSTRIAL PANCASILA (HIP),1
62,HUBUNGAN MASYARAKAT GLOBAL,1
63,INDUSTRI LOGAM MESIN NASIONAL,1
64,INDUSTRI OTOMOTIF INDONESIA,1
65,INDUSTRI PUPUK INDONESIA (LSP-IPI),1
66,INFORMATIKA DIJITAL NUSANTARA,1
67,INFORMATIKA DWI WARNA,1
68,INSPEKTOR INDUSTRI MANUFAKTUR,1
69,INSPEKTUR MARITIM INDONESIA,1
70,INSTITUT SENI BUDAYA INDONESIA BANDUNG,1
71,INSTRUKTUR KOMPETEN NASIONAL,1
72,JAKARTA INTERNASIONAL HOTELS SCHOOL (JIHS),1
73,JAMINAN MUTU DAN KEAMANAN PANGAN,1
74,JASA SERTIFIKASI KOMPETENSI KONSTRUKSI INDONESIA,1
75,K3 NASIONAL,1
76,KADASTER INDONESIA,1
77,KEHUTANAN INDONESIA,1
78,KELAUTAN DAN PERIKANAN,1
79,KESEHATAN HEWAN,1
80,KESELAMATAN KESEHATAN KERJA,1
81,KEUANGAN JAGADHITA NUSANTARA,1
82,KEUANGAN SYARIAH,1
83,KEWIRAUSAHAAN TRIATMA MULYA,1
84,KLINING SERVIS INTERNASIONAL,1
85,KOMPETENSI KONSTRUKSI MANDIRI,1
86,KOMPETENSI PENUNJANG KONSTRUKSI MANDIRI,1
87,KOMUNITAS FARMASI INDONESIA,1
88,KONSELOR KELUARGA KREATIF,1
89,KONSTRUKSI ATAKNAS,1
90,KONSTRUKSI MANAJEMEN SOLID ABHINAYA,1
91,KONSTRUKSI PERTAPIN RAYA,1
92,KONSTRUKSI SEJAHTERA MANDIRI,1
93,KOPERASI,1
94,KOPERASI JASA KEUANGAN,1
95,KOPI INDONESIA,1
96,KREATIF DAYA INDONESIA,1
97,LALU LINTAS ANGKUTAN JALAN,1
98,LAS PROFESIONAL INDONESIA,1
99,LDP NUSANTARA TRAISSER,1
100,LEMBAGA SERTIFIKASI PROFESI DEWAN KOPERASI INDONESIA (LSP DEKOPIN),1
101,LEMBAGA SERTIFIKASI PROFESI (LSP) SMK BINA UTAMA KENDAL,1
102,LEMBAGA SERTIFIKASI PROFESI GOVERNANSI RISIKO KEPATUHAN (GRK),1
103,LEMBAGA SERTIFIKASI PROFESI HIMPUNAN AHLI TEKNIK HIDRAULIK INDONESIA,1
104,LEMBAGA SERTIFIKASI PROFESI HUKUM INDONESIA (LSP HI),1
105,LEMBAGA SERTIFIKASI PROFESI HUKUM KONTRAK INDONESIA (LSP HKI),1
106,LEMBAGA SERTIFIKASI PROFESI JASA PENGELOLA KEUANGAN PRATAMA ( PT LSP JPK PRATAMA ),1
107,LEMBAGA SERTIFIKASI PROFESI KESEHATAN LINGKUNGAN INDONESIA,1
108,LEMBAGA SERTIFIKASI PROFESI PALANG MERAH INDONESIA,1
109,LEMBAGA SERTIFIKASI PROFESI PERKEBUNAN DAN HORTIKULTURA INDONESIA,1
110,LEMBAGA SERTIFIKASI PROFESI PERUSAHAAN GAS NEGARA,1
111,LEMBAGA SERTIFIKASI PROFESI PT.STEEL PIPE INDUSTRY OF INDONESIA (LSP SPINDO),1
112,LEMBAGA SERTIFIKASI PROFESI PUSAT PENGEMBANGAN SDM PERHUBUNGAN LAUT,1
113,LEMBAGA SERTIFIKASI PROFESI PUSTAKAWAN,1
114,LEMBAGA SERTIFIKASI PROFESI SMK N 1 SAPTOSARI,1
115,LEMBAGA SERTIFIKASI PROFESI SMKN 2 LUBUKLINGGAU,1
116,LEMBAGA SERTIFIKASI PROFESI SMKN 2 SEMARANG,1
117,LEMBAGA SERTIFIKASI PROFESI SMKN 3 MADIUN,1
118,LEMBAGA SERTIFIKASI PROFESI UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,1
119,LEMBAGA SERTIFIKASI PROFESIONAL PERBANKAN,1
120,LEMBAGA SERTIFIKASI PROFIESI SMK YAYASAN PHARMASI SEMARANG,1
121,LINGKUNGAN HIDUP & KEHUTANAN INDONESIA,1
122,LINGKUNGAN HIDUP - INKALINDO,1
123,LINGKUNGAN HIDUP ENVIROTAMA,1
124,LINGKUNGAN KEHUTANAN,1
125,LKP ANSHANA COACHING INDONESIA,1
126,LOGISTIK INDONESIA,1
127,LOGISTIK INSAN PRIMA,1
128,LONDON SCHOOL PUBLIC RELATIONS,1
129,LP3I,1
130,LPK BAKINGWORLD,1
131,LPK BALINDO PARADISO,1
132,LPK CITRA SERTIFIKASI MANDIRI,1
133,LPK DUA UTAMA JAYA,1
134,LPK HAMERTA SINAR SURYA,1
135,LPK INIXINDO,1
136,LPK INSIGHT INDONESIA,1
137,LPK MONARCH BALI,1
138,LPK PENGEMBANGAN ENERGI & MINERAL INDONESIA,1
139,LPK PROFESSIONAL PROJECT INSTITUTE,1
140,LPK PT. EDUKASI REKSA MANAJEMEN,1
141,LPK TEKNIK INDONESIA,1
142,LSP PERENCANAAN PEMBANGUNAN INDONESIA,1
143,LSP SMKN 2 DEPOK SLEMAN,1
144,LSP SMKN 3 BANDA ACEH,1
145,LSP - GEOLOGI PERTAMBANGAN PANAS BUMI (GPPB),1
146,LSP - P1 SMK MUHAMMADIYAH 2 BOJA KENDAL,1
147,LSP - P1 SMK N 2 PARIAMAN,1
148,LSP - P1 SMK WIWOROTOMO PURWOKERTO,1
149,LSP AA YKPN,1
150,LSP ADMINISTRASI PERKANTORAN,1
151,LSP ADMINISTRASI PERKANTORAN NUSANTARA,1
152,LSP ADMINISTRASI PROFESIONAL INDONESIA,1
153,LSP AFILIASI TENAGA INFRASTRUKTUR,1
154,LSP AGRO GLOBAL LESTARI,1
155,LSP AHS MANAJEMEN,1
156,LSP AINAKI (PT SERTIFIKASI ANIMASI KREATIF INDONESIA),1
157,LSP AIR MINUM INDONESIA,1
158,LSP AKADEMI KOMUNITAS INDUSTRI MANUFAKTUR BANTAENG (AK-MANUFAKTUR BANTAENG),1
159,LSP AKPAR NHI,1
160,LSP AKUNTANSI PROFESIONAL,1
161,LSP AKUNTANSI TRIATMA,1
162,LSP ALAS KAKI,1
163,LSP ALAT ANGKAT DAN ANGKUT INDONESIA,1
164,LSP ANIMASI SINEMATOGRAFI DESAIN DAN INFORMATIKA (LSP ANIMEDIA),1
165,LSP AP-NASIONAL,1
166,LSP APLIKASI ASURANSI DAN MANAJEMEN ASURANSI INDONESIA,1
167,LSP APMINDO,1
168,LSP AREA INDONESIA,1
169,LSP ARTHA DYAN INTERNATIONAL COLLEGE,1
170,LSP ASNAKES INDONESIA,1
171,LSP ASTRA,1
172,LSP ASTRA FINANCIAL,1
173,LSP ASURANSI SINAR MAS,1
