id,nama,kode_rumpun
ff80808135cdb0290135e694fd536d46,PETUGAS TATA USAHA,
8ae4828739ba014a0139c04cc3ca7abc,KEPALA BIDANG PENGEMBANGAN PROFESI PENDIDIK,
8ae482894b49b66e014b52fd1b1258ab,Asisten Pustakawan,
8ae4828852eee497015316885fa22ae0,Pemeriksa Perlindungan Varietas Tanaman,
8ae482885350ccda0153541a4a4b37a5,PEMERIKSA DESAIN INDUSTRI,
8ae482875aaf836f015ab1fcfdd416ec,Penyuluh Hukum Muda,
8ae483a7691342f1016922e4a2af7a9b,ANALIS PEMBERDAYAAN MASYARAKAT DAN KELEMBAGAAN,
ff80808131fb3be301320477297f5e2e,PEMERIKSA,
ff80808136cdb69f0136cea4c3743ca1,PENGAWAS SEKOLAH,
ff8080813894449d013898ee736a4dbb,DOKTER HEWAN,
ff8080813b3cb4ea013b4601fe346da5,PELAKSANA GAMAT,
ff808081531732bb015317771b6e6c8a,Konstruksi,
ff8080814b499c49014b4d0bd9772d68,PemegangBuku,
ff8080814b499c49014b4d0d8dd22ebb,Pencatat/Peregister,
8ae48287540dbd9801540e4472e60941,Pemeriksa Desain Industri Muda,
A5EB03E23D68F6A0E040640A040252AD,AKUNTAN DAN ANGGARAN,14
A5EB03E23D69F6A0E040640A040252AD,"HAK CIPTA, PATEN DAN MEREK",19
A5EB03E23D6AF6A0E040640A040252AD,KEKOMPUTERAN,3
A5EB03E23D6BF6A0E040640A040252AD,PENDIDIKAN LAINNYA,10
A5EB03E23D6CF6A0E040640A040252AD,OPERATOR ALAT-ALAT OPTIK DAN ELEKTRONIK,11
A5EB03E23D6DF6A0E040640A040252AD,PENERANGAN DAN SENI BUDYA,23
A5EB03E23D6EF6A0E040640A040252AD,"MATEMATIKA, STATISTIKA DAN YANG BERKAITAN",2
A5EB03E23D6FF6A0E040640A040252AD,POLITIK DAN HUBUNGAN LUAR NEGERI,25
A5EB03E23D70F6A0E040640A040252AD,KESEHATAN,7
A5EB03E23D71F6A0E040640A040252AD,ASISTEN PROFESIONAL YANG BERHUBUNGAN DENGAN KEUANGAN DAN PENJUALAN,15
A5EB03E23D72F6A0E040640A040252AD,PENGAWAS KUALITAS DAN KEAMANAN,13
A5EB03E23D73F6A0E040640A040252AD,"IMIGRASI, PAJAK DAN ASISTEN PROFESIONAL YANG BERKAITAN",16
A5EB03E23D74F6A0E040640A040252AD,TEKNISI PENGONTROL KAPAL DAN PESAWAT,12
A5EB03E23D75F6A0E040640A040252AD,PENYIDIK DAN DETEKTIF,20
A5EB03E23D76F6A0E040640A040252AD,"ARSIPARIS, PUSTAKAWAN DAN YANG BERKAITAN",21
A5EB03E23D77F6A0E040640A040252AD,KEAGAMAAN,24
A5EB03E23D78F6A0E040640A040252AD,"ARSITEK, INSINYUR DAN YANG BERKAITAN",4
A5EB03E23D79F6A0E040640A040252AD,ILMU HAYAT,6
A5EB03E23D7AF6A0E040640A040252AD,ILMU SOSIAL DAN YANG BERKAITAN,22
A5EB03E23D7BF6A0E040640A040252AD,PENELITIAN DAN PEREKAYASAAN,5
A5EB03E23D7CF6A0E040640A040252AD,MANAJEMEN,17
A5EB03E23D7DF6A0E040640A040252AD,"PENDIDIKAN TINGKAT KANAK-KANAK, DASAR, LANJUTAN, DAN SEKOLAH KHUSUS",9
A5EB03E23D7EF6A0E040640A040252AD,HUKUM DAN PERADILAN,18
A5EB03E23D7FF6A0E040640A040252AD,PENDIDIKAN TINGKAT TINGGI,8
A5EB03E23D80F6A0E040640A040252AD,"FISIKA, KIMIA DAN YANG BERKAITAN",1
8ae4828939bdb6b30139c300b2f43cfa,PENGEMBANG TEKNOLOGI PEMBELAJARAN,
ff8080813cd60441013cd7d8aec16761,KEPALA SUB SEKSI PENCITRAAN,
ff8080814b499c49014b4d075f852717,ADMINISTRASI PERIJINAN,
ff8080815499c1d001549deaebb4191b,ANALISIS KURIKULUM DAN PEMBELAJARAN SMP,
8ae4828858939620015894987abe66fe,PEMERIKSA KEIMIGRASIAN,
8ae482875a831b4c015a8367ca0972d3,POLISI PAMONG PRAJA,
ff80808138dc6ff50138e5e6244c1868,KABAG KEMAHASISWAAN,
ff8080813ad57fa2013aded4c1d21e69,KEPALA BIDANG PENGKAJIAN TEKNOLOGI,
ff8080813cc38426013cc7fa94d77c44,PENGOLAH DATA DAN LAPORAN USAHA PANAS BUMI,
ff8080814b499c49014b4d07eccb2760,Administrator Jaringan Komputer,
ff8080814b499c49014b4d0873d427f7,Dokumentalis,
ff8080814b499c49014b4d09be9b29c7,Notulis Rapat,
ff8080814b499c49014b4d0ab7b72bc3,Notulis Rapat Komisi,
ff8080814b499c49014b4d0fe1de3298,Pendata,
8ae482874facd42b014fb06ae60a0214,Analis Perencanaan dan Mutasi,
8ae48287534aab9101534ebe4df73c73,Pengendali Organisme Pengganggu tumbuhan Terampil Pelaksana,
8ae4828858939620015894a5190b6be9,Pemeriksa Desain Industri,
8ae482865893951f0158952ae2877603,ANALIS KEIMIGRASIAN,
8ae483a5671174e301675d10a6c80ed8,KUALITAS DAN KEAMANAN,26
036f8b36114e43db99775cceb8f4e79b,Lingkungan Hidup,
