Id,NamaUnor,DiatasanId
466D9577BD220F89E050640A29022FEF,Pemerintah Provinsi Jawa Timur,
466D9577BD230F89E050640A29022FEF,--Sekretariat Daerah,466D9577BD220F89E050640A29022FEF
466D9577BD240F89E050640A29022FEF,----Asisten Pemerintahan dan Kesejahteraan Rakyat,466D9577BD230F89E050640A29022FEF
466D9577BD250F89E050640A29022FEF,------Biro Pemerintahan Dan Otonomi Daerah,466D9577BD240F89E050640A29022FEF
466D9577BD2E0F89E050640A29022FEF,--------Bagian Kerjasama - Biro Pemerintahan dan Otda,466D9577BD250F89E050640A29022FEF
466D9577BD290F89E050640A29022FEF,----------Sub Bagian Umum Dan Kepegawaian - Biro Pemerintahan dan Otda,466D9577BD2E0F89E050640A29022FEF
8ae483c58426ce0e01842d4054630282,--------Koordinator Dan Kelompok Jabatan Fungsional,466D9577BD250F89E050640A29022FEF
466D9577BD320F89E050640A29022FEF,------Biro Kesejahteraan Rakyat,466D9577BD240F89E050640A29022FEF
466D9577BD3A0F89E050640A29022FEF,--------Sub Bagian Umum Dan Kepegawaian - Biro Kesejahteraan Rakyat,466D9577BD320F89E050640A29022FEF
8ae483c58426ce0e01842d57193d0657,--------Koordinator Dan Kelompok Jabatan Fungsional,466D9577BD320F89E050640A29022FEF
8ae483c6891fc6a10189f1fc615021c2,--------Sub Bagian Sarana Dan Prasarana Spiritual,466D9577BD320F89E050640A29022FEF
466D9577BD430F89E050640A29022FEF,------Biro Hukum,466D9577BD240F89E050640A29022FEF
466D9577BD480F89E050640A29022FEF,--------Bagian Bantuan Hukum Dan Hak Asasi Manusia - Biro Hukum,466D9577BD430F89E050640A29022FEF
466D9577BD4B0F89E050640A29022FEF,----------Sub Bagian Umum Dan Kepegawaian - Biro Hukum,466D9577BD480F89E050640A29022FEF
466D9577BD500F89E050640A29022FEF,--------Bagian Pembinaan dan Pengawasan Kebijakan Kabupaten/Kota - Biro Hukum,466D9577BD430F89E050640A29022FEF
8ae483c58426ce0e01842d65fc6707f2,--------Koordinator Dan Kelompok Jabatan Fungsional,466D9577BD430F89E050640A29022FEF
466D9577BD540F89E050640A29022FEF,----Asisten Perekonomian dan Pembangunan,466D9577BD230F89E050640A29022FEF
466D9577BD550F89E050640A29022FEF,------Biro Perekonomian,466D9577BD540F89E050640A29022FEF
466D9577BD610F89E050640A29022FEF,--------Sub Bagian Umum Dan Kepegawaian - Biro Perekonomian,466D9577BD550F89E050640A29022FEF
8ae483c67355ec1e01736b1ef6031c68,------Biro Pengadaan Barang/Jasa,466D9577BD540F89E050640A29022FEF
8ae483a679b26e7f0179ee522d711807,--------KELOMPOK JABATAN FUNGSIONAL,8ae483c67355ec1e01736b1ef6031c68
8ae483c67355ec1e01736b20caef1d11,--------Bagian Pengelolaan Pengadaan Barang/Jasa -  Biro PBJ,8ae483c67355ec1e01736b1ef6031c68
8ae483a57355ebd70173792670121def,----------SUB BAGIAN PENGELOLAAN STRATEGI PENGADAAN BARANG/JASA,8ae483c67355ec1e01736b20caef1d11
8ae483a57355ebd701737927c8531e0f,----------SUB BAGIAN PELAKSANAAN PENGADAAN BARANG/JASA,8ae483c67355ec1e01736b20caef1d11
8ae483a57355ebd701737928410b1e21,----------SUB BAGIAN PEMANTAUAN DAN EVALUASI PENGADAAN BARANG/JASA,8ae483c67355ec1e01736b20caef1d11
8ae483c67355ec1e01736b21a0fa1d40,--------Bagian Pengelolaan Layanan Pengadaan Secara Elektronik - Biro PBJ,8ae483c67355ec1e01736b1ef6031c68
8ae483a57355ebd701737928bfa71e36,----------SUB BAGIAN PENGELOLAAN SISTEM PENGADAAN SECARA ELEKTRONIK,8ae483c67355ec1e01736b21a0fa1d40
8ae483a57355ebd701737929262e1e3d,----------SUB BAGIAN PENGEMBANGAN SISTEM INFORMASI,8ae483c67355ec1e01736b21a0fa1d40
8ae483a57355ebd701737929c7d31e4c,----------SUB BAGIAN PENGELOLAAN INFORMASI PENGADAAN BARANG/JASA,8ae483c67355ec1e01736b21a0fa1d40
8ae483c67355ec1e01736b2250d61d85,--------Bagian Pembinaan Pengadaan Barang/Jasa -  Biro PBJ,8ae483c67355ec1e01736b1ef6031c68
8ae483c67355ec1e01736b63a8ca3890,----------Sub Bagian Umum Dan Kepegawaian - Biro PBJ,8ae483c67355ec1e01736b2250d61d85
8ae483a57355ebd70173792a74dc1e66,----------SUB BAGIAN PEMBINAAN SUMBER DAYA MANUSIA DAN KELEMBAGAAN PENGADAAN BARANG/JASA,8ae483c67355ec1e01736b2250d61d85
8ae483a57355ebd70173792ae6351e72,"----------SUB BAGIAN PENDAMPINGAN, KONSULTASI DAN BIMBINGAN TEKNIS PENGADAAN BARANG/JASA",8ae483c67355ec1e01736b2250d61d85
466D9577BD6D0F89E050640A29022FEF,------Biro Administrasi Pembangunan,466D9577BD540F89E050640A29022FEF
466D9577BD6E0F89E050640A29022FEF,--------Bagian Pengendalian Administrasi Pelaksanaan Pembangunan Daerah,466D9577BD6D0F89E050640A29022FEF
466D9577BD6F0F89E050640A29022FEF,----------Sub Bagian Pengendalian Administrasi Pelaksanaan Pembangunan APBD,466D9577BD6E0F89E050640A29022FEF
466D9577BD700F89E050640A29022FEF,----------Sub Bagian Pengendalian Administrasi Pelaksanaan Pembangunan APBN,466D9577BD6E0F89E050640A29022FEF
466D9577BD720F89E050640A29022FEF,--------Bagian Pengendalian Administrasi Pelaksanaan Pembangunan Wilayah,466D9577BD6D0F89E050640A29022FEF
466D9577BD730F89E050640A29022FEF,----------Sub Bagian Pengendalian Administrasi Pelaksanaan Pembangunan Wilayah I,466D9577BD720F89E050640A29022FEF
466D9577BD740F89E050640A29022FEF,----------Sub Bagian Pengendalian Administrasi Pelaksanaan Pembangunan Wilayah II,466D9577BD720F89E050640A29022FEF
466D9577BD750F89E050640A29022FEF,----------Sub Bagian Pengendalian Administrasi Pelaksanaan Pembangunan Wilayah III,466D9577BD720F89E050640A29022FEF
466D9577BD760F89E050640A29022FEF,--------Bagian Pelaporan Pelaksanaan Pembangunan,466D9577BD6D0F89E050640A29022FEF
466D9577BD770F89E050640A29022FEF,----------Sub Bagian Analisis Capaian Kinerja Pembangunan Daerah,466D9577BD760F89E050640A29022FEF
466D9577BD780F89E050640A29022FEF,----------Sub Bagian Pelaporan Pelaksanaan Pembangunan Daerah,466D9577BD760F89E050640A29022FEF
466D9577BD790F89E050640A29022FEF,----------Sub Bagian Kebijakan Pembangunan Daerah,466D9577BD760F89E050640A29022FEF
466D9577BD710F89E050640A29022FEF,--------Sub Bagian Umum Dan Kepegawaian - Biro Administrasi Pembangunan,466D9577BD6D0F89E050640A29022FEF
8ae483a6684a8a6e01684b167231627c,--------HAPUS,466D9577BD6D0F89E050640A29022FEF
8ae483a6684a8a6e01684b1ab6d56ad7,----------HAPUS,8ae483a6684a8a6e01684b167231627c
8ae483a6684a8a6e01684b1b81177600,----------HAPUS 2,8ae483a6684a8a6e01684b167231627c
8ae483a6684a8a6e01684b1bfcf076a2,----------HAPUS 3,8ae483a6684a8a6e01684b167231627c
466D9577BD7A0F89E050640A29022FEF,----Asisten Administrasi Umum,466D9577BD230F89E050640A29022FEF
466D9577BD960F89E050640A29022FEF,------Biro Administrasi Pimpinan,466D9577BD7A0F89E050640A29022FEF
466D9577BD970F89E050640A29022FEF,--------Bagian Perencanaan Dan Kepegawaian Sekretariat Daerah - Biro Administrasi Pimpinan,466D9577BD960F89E050640A29022FEF
