"id","pId","name","jenjang_id","kualifikasi_id","url","open","aktif","kelas_jab"
"3","0","Jabatan Pelaksana",\N,\N,\N,"true","Y","0"
"31","3","Administrasi",\N,\N,\N,\N,"N","0"
"3110","31","Penerima",\N,\N,\N,\N,"N","0"
"3111","31","Pengadministrasi",\N,\N,\N,\N,"N","0"
"3117","31","Penyusun",\N,\N,\N,\N,"N","0"
"32","3","Operasional",\N,\N,\N,\N,"N","0"
"3210","32","Operator",\N,\N,\N,\N,"N","0"
"3211","32","Pekerja",\N,\N,\N,\N,"N","0"
"3214","32","Petugas",\N,\N,\N,\N,"N","0"
"33","3","Pelayanan",\N,\N,\N,\N,"N","0"
"3303","33","Caraka",\N,\N,\N,\N,"N","0"
"3304","33","Fasilitator",\N,\N,\N,\N,"N","7"
"3305","33","Juru",\N,\N,\N,\N,"N","3"
"3306","33","Konselor",\N,\N,\N,\N,"N","0"
"3308","33","Pemandu",\N,\N,\N,\N,"N","5"
"3309","33","Pengemudi",\N,\N,\N,\N,"N","0"
"3310","33","Penyiap",\N,\N,\N,\N,"N","0"
"3311","33","Pramu",\N,\N,\N,\N,"N","0"
"3315","33","Sekretaris",\N,\N,\N,\N,"N","0"
"34","3","Teknis",\N,\N,\N,\N,"N","0"
"3401","34","Analis",\N,\N,\N,\N,"N","0"
"3403","34","Bendaharawan",\N,\N,\N,\N,"N","0"
"3405","34","Kurator",\N,\N,\N,\N,"N","7"
"3407","34","Pembuat",\N,\N,\N,\N,"N","0"
"3408","34","Pemelihara",\N,\N,\N,\N,"N","3"
"3409","34","Pemeriksa",\N,\N,\N,\N,"N","7"
"3410","34","Pemroses",\N,\N,\N,\N,"N","0"
"3412","34","Penaksir",\N,\N,\N,\N,"N","0"
"3413","34","Penata",\N,\N,\N,\N,"N","0"
"3414","34","Penelaah",\N,\N,\N,\N,"N","0"
"3415","34","Pengamat",\N,\N,\N,\N,"N","0"
"3416","34","Pengambil Sampel",\N,\N,\N,\N,"N","0"
"3417","34","Pengarah",\N,\N,\N,\N,"N","0"
"3418","34","Pengatur",\N,\N,\N,\N,"N","0"
"3419","34","Pengawas",\N,\N,\N,\N,"N","0"
"3420","34","Pengelola",\N,\N,\N,\N,"N","0"
"3421","34","Pengembang",\N,\N,\N,\N,"N","0"
"3422","34","Pengendali",\N,\N,\N,\N,"N","0"
"3423","34","Pengevaluasi",\N,\N,\N,\N,"N","0"
"3426","34","Pengkaji",\N,\N,\N,\N,"N","0"
"3427","34","Pengolah",\N,\N,\N,\N,"N","6"
"3428","34","Pengonsep",\N,\N,\N,\N,"N","0"
"3429","34","Penguji",\N,\N,\N,\N,"N","0"
"3433","34","Penyidik",\N,\N,\N,\N,"N","0"
"3436","34","Penyuluh",\N,\N,\N,\N,"N","0"
"3438","34","Perancang",\N,\N,\N,\N,"N","0"
"3439","34","Perumus",\N,\N,\N,\N,"N","0"
"3440","34","Pranata",\N,\N,\N,\N,"N","0"
"3441","34","Teknisi",\N,\N,\N,\N,"N","5"
"3442","34","Verifikator",\N,\N,\N,\N,"N","0"
"3110001","3110","Penerima Sampel Pengujian",\N,\N,\N,\N,"N","0"
"3111001","3111","Administrator Pelayanan Pkb Dan Bbnkb",\N,\N,\N,\N,"N","0"
"3111002","3111","Pengadministrasi Barang",\N,\N,\N,\N,"N","0"
"3111003","3111","Pengadministrasi Gudang",\N,\N,\N,\N,"N","0"
"3111004","3111","Pengadministrasi Kebandarudaraan ",\N,\N,\N,\N,"N","0"
"3111005","3111","Pengadministrasi Kepegawaian",\N,\N,\N,\N,"N","0"
"3111006","3111","Pengadministrasi Keuangan",\N,\N,\N,\N,"N","0"
"3111007","3111","Pengadministrasi Layanan Perpustakaan",\N,\N,\N,\N,"N","0"
"3111008","3111","Pengadministrasi Museum dan Keperbukalaan",\N,\N,\N,\N,"N","0"
"3111009","3111","Pengadministrasi Pajak",\N,\N,\N,\N,"N","0"
"3111010","3111","Pengadministrasi Pelabuhan",\N,\N,\N,\N,"N","0"
"3111011","3111","Pengadministrasi Pelayanan",\N,\N,\N,\N,"N","0"
"3111012","3111","Pengadministrasi Perpustakaan ",\N,\N,\N,\N,"N","0"
"3111013","3111","Pengadministrasi Rekam Medik",\N,\N,\N,\N,"N","0"
"3111014","3111","Pengadministrasi Retribusi",\N,\N,\N,\N,"N","0"
"3111015","3111","Pengadministrasi Teknik Bina Marga",\N,\N,\N,\N,"N","0"
"3111016","3111","Pengadministrasi Teknik Pengairan",\N,\N,\N,\N,"N","0"
"3111017","3111","Pengadministrasi Teknik Perikanan",\N,\N,\N,\N,"N","0"
"3111018","3111","Pengadministrasi Teknik Perkebunan",\N,\N,\N,\N,"N","0"
"3111019","3111","Pengadministrasi Teknis",\N,\N,\N,\N,"N","0"
"3111020","3111","Pengadministrasi Teknis Bahan Pustaka",\N,\N,\N,\N,"N","0"
"3111021","3111","Pengadministrasi Teknis Cipta Karya ",\N,\N,\N,\N,"N","0"
"3111022","3111","Pengadministrasi Teknis Industri dan Perdagangan",\N,\N,\N,\N,"N","0"
"3111023","3111","Pengadministrasi Teknis Lingkungan Hidup",\N,\N,\N,\N,"N","0"
"3111024","3111","Pengadministrasi Teknis Metrologi",\N,\N,\N,\N,"N","0"
"3111025","3111","Pengadministrasi Teknis Perhubungan dan LLAJ ",\N,\N,\N,\N,"N","0"
"3111026","3111","Pengadministrasi Teknis Sosial",\N,\N,\N,\N,"N","0"
"3111027","3111","Pengadministrasi Umum",\N,\N,\N,\N,"N","0"
"3117001","3117","Penyusun Abstraksi Hukum",\N,\N,\N,\N,"N","0"
"3117002","3117","Penyusun Bahan Akreditasi dan Perijinan Lembaga Latihan",\N,\N,\N,\N,"N","0"
"3117003","3117","Penyusun Bahan Bimbingan dan Keselamatan Lalu Lintas ",\N,\N,\N,\N,"N","0"
"3117004","3117","Penyusun Bahan Bimbingan Teknis dan Kelembagaan ",\N,\N,\N,\N,"N","0"
"3117005","3117","Penyusun Bahan Evaluasi dan Laporan",\N,\N,\N,\N,"N","0"
"3117006","3117","Penyusun Bahan Evaluasi Penanaman Modal",\N,\N,\N,\N,"N","0"
"3117007","3117","Penyusun Bahan Fasiltiasi Perfilman",\N,\N,\N,\N,"N","0"
"3117008","3117","Penyusun Bahan Informasi dan Promosi",\N,\N,\N,\N,"N","0"
